Como você se define,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)?",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",Em qual UF você reside?,Em qual país você reside?,De quais edições da Python Brasil você já participou?,Você já participou de algum outro evento Python?,Você participou de outros eventos online durante a pandemia de covid-19?,Há quanto tempo você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você é estudante?,Você trabalha com Python?,"Você pretende submeter alguma atividades (palestra, tutorial) para a Python Brasil?","Você faz parte de alguma comunidade local? (grupy, PUG, PyLadies, AfroPython)","Se sim, qual?.1",extract_date
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Não,Há mais de três anos,Avançado,Não,Sim,"Não, vou apenas para participar",Sim,Grupy-RP,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,PB,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,Pylaries,2020-11-10
Uma pessoa parda,,Mulher,,Não,Lésbica,,Não,,PE,,É a minha primeira vez no evento!,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de um ano,Intermediário,Não,Sim,Com certeza!,Sim,PyLadies,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,PR,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Prefiro não responder,,Não,,MA,,É a minha primeira vez no evento!,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,Não,"Não, vou apenas para participar",Não,,2020-11-10
Prefiro não responder,,Homem,,Não,Hétero,,Não,,Não moro no Brasil,Bélgica,Edições anteriores à Python Brasil [10],"Sim, eventos internacionais",Sim,Há mais de dez anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,AL,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RN,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Avançado,Não,Sim,Com certeza!,Sim,GRUPY-RN,2020-11-10
Uma pessoa parda,,Homem,,Não,Prefiro não responder,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Edições anteriores à Python Brasil [10],"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de cinco anos,Avançado,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, ensino fundamental ou médio","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,ES,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, pós-graduação ou especialização",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de cinco anos,Avançado,"Sim, pós-graduação ou especialização",Sim,Com certeza!,Sim,grupy-sanca,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PI,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Intermediário,Não,Sim,Com certeza!,Sim,"PUG-PI, PUG-PHB",2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Sim,Grupy SP,2020-11-10
Uma pessoa negra,,Mulher,,Não,Bisexual,,Não,,PB,,É a minha primeira vez no evento!,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de cinco anos,Avançado,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Sim,PyLadies e PUG,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PE,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Intermediário,Não,Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,MA,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [13] - 2017 - Belo Horizonte - MG,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Avançado,Não,Sim,Com certeza!,Sim,grupy sp,2020-11-10
Prefiro não responder,,Mulher,,Não,Pansexual,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,PE,,Python Brasil [14] - 2018 - Natal - RN | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Não,Há mais de cinco anos,Avançado,"Sim, pós-graduação ou especialização",Sim,"Não, vou apenas para participar",Sim,PUG-PE,2020-11-10
Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Prefiro não responder,,Não,,PE,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de três anos,Avançado,"Sim, graduação ou tecnólogo",Sim,Com certeza!,Sim,PyLadies Recife,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RJ,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Não,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,PB,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Sim,PYLADIES,2020-11-10
Uma pessoa branca,,Homem,,Não,Gay,,Não,,PB,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa parda,,Mulher,,Não,Lésbica,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,"Sim, pós-graduação ou especialização","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Sim,PyLadies Paraíba,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,PE,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Mulher,,Não,Bisexual,,Não,,PE,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc)",Sim,Há mais de um ano,Iniciante,Não,Não,Com certeza!,Sim,"Afropython Recife, Pyladies Recife, PUG",2020-11-10
Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
Uma pessoa branca,,Mulher,,Não,Bisexual,,Não,,RN,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Não sei programar,Iniciante,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,2020-11-10
Uma pessoa negra,,Homem,,Não,Bisexual,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,2020-11-10
Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Prefiro não responder,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,2020-11-10
Uma pessoa negra,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,Não,Sim,"Não, vou apenas para participar",Sim,Grupyabc,2020-11-10
Uma pessoa branca,,Homem,,Não,Bisexual,,Não,,PB,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, pós-graduação ou especialização",Sim,"Gostaria, mas tenho alguma insegurança quanto a isso",Não,,2020-11-10
